Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,327.50,331.70,326.536,331.70,1566800,331.70
2016-12-29,328.60,329.10,327.372,329.10,1870800,329.10
2016-12-28,331.40,331.40,328.30,330.10,3795400,330.10
2016-12-27,330.50,330.50,330.50,330.50,000,330.50
2016-12-26,330.50,330.50,330.50,330.50,000,330.50
2016-12-23,330.40,330.80,327.60,330.50,1376400,330.50
2016-12-22,329.00,331.30,328.40,330.80,2062800,330.80
2016-12-21,329.10,332.00,328.50,329.50,6337300,329.50
2016-12-20,329.80,330.50,325.80,328.80,3378600,328.80
2016-12-19,329.60,330.90,327.20,329.00,2654100,329.00
2016-12-16,332.00,335.90,328.30,329.80,14712500,329.80
2016-12-15,320.00,331.00,318.476,330.90,13622500,330.90
2016-12-14,318.20,322.70,318.20,319.40,14689900,319.40
2016-12-13,312.90,319.80,312.90,319.50,5433000,319.50
2016-12-12,315.70,316.90,311.30,312.10,4843000,312.10
2016-12-09,316.40,317.60,314.10,316.20,6705300,316.20
2016-12-08,318.80,321.00,315.00,316.80,4651600,316.80
2016-12-07,311.10,318.40,310.00,318.40,8531500,318.40
2016-12-06,307.00,308.70,304.20,304.70,4445800,304.70
2016-12-05,301.20,308.40,301.20,307.40,3845900,307.40
2016-12-02,304.00,305.10,301.70,303.10,3486300,303.10
2016-12-01,308.40,308.40,302.10,306.20,5150300,306.20
2016-11-30,306.80,310.30,306.80,309.90,7875500,309.90
2016-11-29,308.50,308.50,304.20,308.40,8217500,308.40
2016-11-28,309.00,309.00,305.50,308.60,3843700,308.60
2016-11-25,310.80,311.00,308.50,308.90,3692700,308.90
2016-11-24,310.90,312.80,309.00,310.50,2915800,310.50
2016-11-23,309.70,313.00,308.80,311.60,4540400,311.60
2016-11-22,310.00,312.00,307.358,309.60,6260000,309.60
2016-11-21,305.70,309.20,304.20,309.10,6791500,309.10
2016-11-18,306.80,309.30,303.40,304.30,5489800,304.30
2016-11-17,305.80,308.80,304.50,307.20,5507200,307.20
2016-11-16,308.40,309.70,302.70,304.80,6399700,304.80
