Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,2803.00,2849.00,2803.00,2849.00,208900,2849.00
2016-12-29,2771.00,2812.00,2766.00,2805.00,122500,2805.00
2016-12-28,2814.00,2814.00,2779.00,2783.00,139700,2783.00
2016-12-27,2815.00,2815.00,2815.00,2815.00,000,2815.00
2016-12-26,2815.00,2815.00,2815.00,2815.00,000,2815.00
2016-12-23,2799.00,2819.36,2789.00,2815.00,80400,2815.00
2016-12-22,2773.00,2796.00,2752.00,2785.00,206000,2785.00
2016-12-21,2760.00,2782.00,2758.00,2774.00,277000,2774.00
2016-12-20,2752.00,2773.00,2743.00,2758.00,192000,2758.00
2016-12-19,2770.00,2770.00,2730.00,2750.00,148700,2750.00
2016-12-16,2734.00,2773.00,2728.00,2750.00,579800,2750.00
2016-12-15,2716.00,2746.00,2703.00,2740.00,246400,2740.00
2016-12-14,2659.00,2720.00,2652.00,2714.00,460300,2714.00
2016-12-13,2668.00,2680.00,2633.00,2671.00,640900,2671.00
2016-12-12,2715.00,2726.00,2661.00,2661.00,517600,2661.00
2016-12-09,2830.00,2851.00,2710.00,2726.00,405800,2726.00
2016-12-08,2840.00,2848.00,2818.00,2829.00,276700,2829.00
2016-12-07,2848.00,2874.00,2826.00,2831.00,386700,2831.00
2016-12-06,2859.00,2859.00,2787.00,2838.00,275800,2838.00
2016-12-05,2839.00,2878.00,2830.00,2851.00,263900,2851.00
2016-12-02,2872.00,2873.00,2827.00,2853.00,190400,2853.00
2016-12-01,2905.00,2924.00,2847.00,2877.00,318400,2877.00
2016-11-30,2963.00,2974.00,2893.00,2915.00,342400,2915.00
2016-11-29,2969.00,2974.00,2946.00,2965.00,196800,2965.00
2016-11-28,2984.00,2988.00,2922.00,2954.00,167700,2954.00
2016-11-25,2983.00,3004.00,2956.00,2977.00,174500,2977.00
2016-11-24,2987.00,3010.00,2970.00,2998.00,187500,2998.00
2016-11-23,2958.00,2997.00,2943.00,2990.00,325900,2990.00
2016-11-22,2926.00,2961.00,2905.00,2934.00,146800,2934.00
2016-11-21,2952.00,2953.00,2881.00,2896.00,425900,2896.00
2016-11-18,2931.00,2949.00,2892.00,2946.00,288400,2946.00
2016-11-17,2847.00,2929.00,2831.00,2929.00,301700,2929.00
2016-11-16,2842.00,2891.00,2821.00,2850.00,334600,2850.00
2016-11-15,2844.00,2861.00,2819.00,2833.00,164400,2833.00
2016-11-14,2803.00,2848.00,2798.00,2817.00,256200,2817.00
2016-11-11,2881.00,2882.00,2772.00,2777.00,255100,2777.00
2016-11-10,2862.00,2919.00,2845.00,2857.00,416200,2857.00
2016-11-09,2783.00,2861.00,2732.08,2850.00,284100,2850.00
2016-11-08,2865.00,2877.00,2282.83,2855.00,265500,2855.00
2016-11-07,2871.00,2884.00,2846.00,2858.00,226800,2858.00
2016-11-04,2900.00,2916.00,2816.00,2825.00,254900,2825.00
2016-11-03,2901.00,2945.00,2865.36,2904.00,232000,2904.00
2016-11-02,2910.00,2923.00,2876.50,2909.00,221000,2909.00
2016-11-01,2941.00,2976.88,2908.00,2934.00,257100,2934.00
2016-10-31,2973.00,2974.00,2941.00,2950.00,724900,2950.00
2016-10-28,2951.00,2981.00,2889.00,2973.00,307600,2973.00
2016-10-27,3009.00,3010.00,2944.00,2964.00,345700,2964.00
2016-10-26,3091.00,3091.00,3032.00,3041.00,263400,2997.80
2016-10-25,3101.00,3113.00,3072.00,3087.00,259200,3043.146
2016-10-24,3020.00,3128.00,3020.00,3089.00,337200,3045.118
2016-10-21,2996.00,3020.00,2996.00,3005.00,286400,2962.311
2016-10-20,2996.00,3023.00,2968.00,3012.00,335500,2969.212
2016-10-19,3024.00,3036.04,2973.00,2988.00,273000,2945.553
2016-10-18,2993.00,3024.00,2988.52,3018.00,411200,2975.127
2016-10-17,3049.00,3099.00,2987.51,2993.00,527600,2950.482
2016-10-14,3081.00,3111.72,3007.00,3036.00,539300,2992.871
2016-10-13,3119.00,3136.00,3064.00,3079.00,359100,3035.26
2016-10-12,3123.00,3129.00,3098.21,3106.00,409400,3061.877
2016-10-11,3164.00,3164.00,3118.00,3120.00,337000,3075.678
2016-10-10,3214.00,3217.00,3152.00,3158.00,313500,3113.138
2016-10-07,3293.00,3295.45,3180.00,3190.00,515500,3144.683
2016-10-06,3264.00,3312.90,3263.00,3275.00,373300,3228.476
2016-10-05,3298.00,3364.00,3234.00,3259.00,589100,3212.703
2016-10-04,3109.00,3402.27,3109.00,3320.00,989000,3272.837
2016-10-03,3016.00,3115.35,3016.00,3112.00,312000,3067.791
2016-09-30,2950.00,3037.00,2919.00,3033.00,518100,2989.914
2016-09-29,2959.00,2990.00,2936.00,2990.00,218500,2947.524
2016-09-28,2885.00,2944.00,2885.00,2930.00,174700,2888.377
2016-09-27,2918.00,2918.00,2829.00,2879.00,314700,2838.101
2016-09-26,2966.00,2966.00,2876.00,2883.00,288200,2842.044
2016-09-23,3013.00,3013.00,2949.64,2967.00,297500,2924.851
2016-09-22,2996.00,3034.00,2996.00,3012.00,132600,2969.212
2016-09-21,2998.00,3009.00,2976.00,2984.00,241600,2941.61
2016-09-20,2976.00,2998.00,2960.00,2960.00,241600,2917.951
2016-09-19,2979.00,2994.00,2940.00,2989.00,180300,2946.539
2016-09-16,2899.00,2963.00,2892.00,2963.00,698200,2920.908
2016-09-15,2885.00,2916.00,2856.00,2910.00,249300,2868.661
2016-09-14,2921.00,2936.00,2902.00,2902.00,222400,2860.775
2016-09-13,2976.00,2995.00,2897.00,2906.00,450200,2864.718
2016-09-12,2987.00,2998.00,2924.00,2976.00,386300,2933.723
2016-09-09,3045.00,3055.82,3012.00,3039.00,248000,2995.828
2016-09-08,2985.00,3055.00,2977.00,3044.00,231100,3000.757
2016-09-07,2996.00,2996.00,2930.00,2958.00,214900,2915.979
2016-09-06,3025.00,3032.00,2967.00,2988.00,284300,2945.553
2016-09-05,3116.00,3116.00,3010.00,3028.00,242500,2984.985
2016-09-02,3077.00,3123.00,3009.00,3100.00,471000,3055.962
2016-09-01,3002.00,3097.00,3002.00,3062.00,350500,3018.502
2016-08-31,2979.00,3015.00,2978.00,3006.00,416800,2963.297
2016-08-30,2995.00,3030.00,2988.00,2988.00,278700,2945.553
2016-08-26,2987.00,3037.00,2969.00,3007.00,296400,2964.283
2016-08-25,2943.00,2981.00,2934.00,2981.00,248900,2938.652
2016-08-24,2946.00,2973.00,2926.00,2964.00,208300,2921.894
2016-08-23,2912.00,2960.00,2905.00,2952.00,306600,2910.064
2016-08-22,2871.00,2921.00,2855.00,2916.00,249800,2874.576
2016-08-19,2870.00,2874.00,2832.46,2862.00,174600,2821.343
2016-08-18,2850.00,2901.00,2844.00,2885.00,207300,2844.016
2016-08-17,2849.00,2850.00,2826.00,2834.00,373400,2793.741
2016-08-16,2813.00,2849.00,2813.00,2835.00,195900,2794.726
2016-08-15,2849.00,2861.70,2823.00,2834.00,151500,2793.741
2016-08-12,2813.00,2851.00,2813.00,2837.00,103800,2796.698
2016-08-11,2822.00,2826.00,2785.00,2826.00,224200,2785.854
2016-08-10,2810.00,2834.00,2803.00,2817.00,209600,2776.982
2016-08-09,2809.00,2832.00,2794.00,2825.00,277000,2784.868
2016-08-08,2743.00,2808.00,2706.00,2799.00,213300,2759.238
2016-08-05,2703.00,2748.00,2697.00,2745.00,240200,2706.005
2016-08-04,2671.00,2735.00,2658.00,2703.00,248100,2664.602
2016-08-03,2698.00,2707.00,2651.00,2662.00,282300,2624.184
2016-08-02,2687.00,2722.00,2667.00,2700.00,262000,2661.644
2016-08-01,2731.00,2731.00,2671.00,2686.00,364500,2647.843
2016-07-29,2670.00,2710.00,2659.00,2709.00,409400,2670.516
2016-07-28,2718.00,2735.00,2671.00,2672.00,279900,2634.042
2016-07-27,2784.00,2804.00,2693.00,2700.00,301800,2661.644
2016-07-26,2650.00,2814.00,2590.00,2748.00,1104900,2708.962
2016-07-25,2596.00,2604.00,2579.00,2600.00,288700,2563.065
2016-07-22,2613.00,2613.00,2579.00,2596.00,181800,2559.122
2016-07-21,2598.00,2643.00,2598.00,2606.00,463400,2568.979
2016-07-20,2616.00,2621.00,2590.00,2607.00,211900,2569.965
2016-07-19,2589.00,2626.00,2575.00,2604.00,330500,2567.008
2016-07-18,2558.00,2598.00,2558.00,2582.00,202200,2545.32
2016-07-15,2590.00,2594.00,2547.00,2568.00,298600,2531.519
2016-07-14,2610.00,2613.00,2537.00,2585.00,308100,2548.278
2016-07-13,2581.00,2619.00,2564.00,2581.00,308200,2544.335
2016-07-12,2564.00,2610.00,2546.00,2596.00,334000,2559.122
2016-07-11,2542.00,2559.00,2465.00,2551.00,376300,2514.761
2016-07-08,2436.00,2522.00,2402.00,2493.00,540400,2457.585
2016-07-07,2273.00,2459.00,2270.00,2409.00,785100,2374.778
2016-07-06,2279.00,2318.00,2187.00,2230.00,709200,2198.321
2016-07-05,2366.00,2386.00,2289.00,2306.00,480800,2273.241
2016-07-04,2411.00,2414.21,2337.00,2338.00,429000,2304.787
2016-07-01,2320.00,2402.00,2257.00,2401.00,573900,2366.892
2016-06-30,2304.00,2307.00,2239.54,2300.00,499400,2267.326
2016-06-29,2314.00,2357.00,2296.93,2310.00,859300,2277.184
2016-06-28,2206.00,2300.00,2164.00,2287.00,1037100,2254.511
2016-06-27,2398.00,2422.00,2125.00,2164.00,815700,2133.258
2016-06-24,2628.00,2628.00,2350.00,2451.00,1282800,2416.181
2016-06-23,2863.00,2923.00,2835.00,2920.00,252000,2878.519
2016-06-22,2796.00,2870.00,2767.00,2846.00,239100,2805.57
2016-06-21,2746.00,2799.00,2742.00,2765.00,269300,2725.721
2016-06-20,2700.00,2769.00,2695.00,2766.00,275100,2726.707
2016-06-17,2611.00,2647.00,2597.00,2647.00,467500,2609.397
2016-06-16,2594.00,2640.00,2560.00,2585.00,295100,2548.278
2016-06-15,2595.00,2627.00,2583.00,2619.00,477900,2581.795
2016-06-14,2648.00,2665.00,2588.00,2590.00,510600,2553.207
2016-06-13,2715.00,2723.19,2667.00,2667.00,226900,2629.113
2016-06-10,2817.00,2817.00,2719.00,2731.00,206200,2692.204
2016-06-09,2834.00,2842.00,2811.00,2812.00,139900,2772.053
2016-06-08,2853.00,2863.00,2827.00,2843.00,170500,2802.613
2016-06-07,2891.00,2895.00,2870.00,2870.00,200200,2829.229
2016-06-06,2856.00,2880.00,2842.00,2878.00,339500,2837.115
2016-06-03,2860.00,2870.00,2822.00,2851.00,196100,2810.499
2016-06-02,2864.00,2877.00,2839.00,2849.00,252500,2808.527
2016-06-01,2912.00,2924.00,2859.00,2873.00,251900,2832.187
2016-05-31,2845.00,2912.00,2845.00,2912.00,535700,2870.632
2016-05-30,2914.00,2914.00,2914.00,2914.00,000,2872.604
2016-05-27,2887.00,2916.00,2884.00,2914.00,240000,2872.604
2016-05-26,2913.00,2921.00,2886.00,2897.00,191200,2855.846
2016-05-25,2951.00,2957.00,2906.00,2922.00,188200,2880.49
2016-05-24,2850.00,2951.00,2822.00,2921.00,241200,2879.505
2016-05-23,2857.00,2883.00,2840.00,2859.00,269700,2818.385
2016-05-20,2806.00,2851.00,2789.00,2851.00,305700,2810.499
2016-05-19,2793.00,2856.51,2759.00,2787.00,390600,2747.408
2016-05-18,2821.00,2870.00,2802.00,2870.00,323200,2749.478
2016-05-17,2789.00,2845.00,2782.59,2845.00,343600,2725.528
2016-05-16,2813.00,2826.00,2780.00,2784.00,222700,2667.09
2016-05-13,2779.00,2837.00,2757.00,2837.00,385300,2717.864
2016-05-12,2765.00,2803.76,2729.50,2784.00,663300,2667.09
2016-05-11,2822.00,2827.00,2769.00,2782.00,371200,2665.174
2016-05-10,2850.00,2866.00,2828.00,2830.00,291900,2711.158
2016-05-09,2859.00,2868.00,2820.00,2839.00,367400,2719.78
2016-05-06,2863.00,2884.00,2832.00,2838.00,410900,2718.822
2016-05-05,2920.00,2940.00,2841.00,2874.00,547900,2753.311
2016-05-04,2908.00,2953.00,2908.00,2942.00,221400,2818.455
2016-05-03,2941.00,2955.00,2879.00,2924.00,281200,2801.211
2016-05-02,2914.00,2914.00,2914.00,2914.00,000,2791.631
2016-04-29,2893.00,2938.00,2889.00,2914.00,252600,2791.631
2016-04-28,2941.00,2951.00,2868.00,2918.00,239400,2795.463
2016-04-27,2950.00,2965.00,2905.00,2965.00,261700,2840.489
2016-04-26,2947.00,2960.00,2933.00,2952.00,142500,2828.035
2016-04-25,2958.00,2965.00,2937.00,2946.00,160900,2822.287
2016-04-22,2990.00,3009.00,2952.00,2953.00,171800,2828.993
2016-04-21,2983.00,3012.00,2960.00,3004.00,199400,2877.851
2016-04-20,3009.00,3016.00,2928.00,2986.00,310000,2860.607
2016-04-19,3049.00,3079.00,3014.00,3019.00,218800,2892.221
2016-04-18,3063.00,3080.00,3029.00,3050.00,257600,2921.92
2016-04-15,3060.00,3086.00,3051.00,3086.00,277400,2956.408
2016-04-14,3087.00,3097.00,3057.00,3060.00,242700,2931.50
2016-04-13,3008.00,3088.00,3003.00,3076.00,307100,2946.828
2016-04-12,2951.00,2995.00,2910.00,2988.00,232800,2862.523
2016-04-11,2934.00,2967.00,2925.00,2935.00,201400,2811.749
2016-04-08,2922.00,2955.00,2913.00,2946.00,245900,2822.287
2016-04-07,2990.00,3015.00,2913.00,2916.00,228700,2793.547
2016-04-06,2947.00,2993.00,2946.00,2986.00,205500,2860.607
2016-04-05,2955.00,2991.00,2929.00,2939.00,335400,2815.581
2016-04-04,2956.00,3005.00,2950.00,2968.00,208800,2843.363
2016-04-01,2955.00,2967.00,2925.00,2966.00,197700,2841.447
2016-03-31,2955.00,2974.00,2939.00,2965.00,250800,2840.489
2016-03-30,2981.00,2996.00,2949.00,2959.00,191300,2834.741
2016-03-29,2969.00,2977.00,2927.00,2950.00,228700,2826.119
2016-03-28,2958.00,2958.00,2958.00,2958.00,000,2833.783
2016-03-24,2990.00,2993.00,2956.00,2958.00,274900,2833.783
2016-03-23,3017.00,3040.00,2996.00,3012.00,229100,2885.515
2016-03-22,2956.00,3035.00,2917.00,3026.00,375800,2898.927
2016-03-21,2950.00,2972.00,2917.00,2961.00,354100,2836.657
