Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,2976.00,3001.00,2960.00,2998.00,126400,2998.00
2016-12-29,2967.00,2992.00,2957.00,2981.00,139700,2981.00
2016-12-28,2993.00,2993.00,2939.00,2983.00,137200,2983.00
2016-12-27,2985.00,2985.00,2985.00,2985.00,000,2985.00
2016-12-26,2985.00,2985.00,2985.00,2985.00,000,2985.00
2016-12-23,2966.00,2990.00,2961.00,2985.00,70300,2985.00
2016-12-22,2950.00,2971.00,2950.00,2968.00,152200,2968.00
2016-12-21,2976.00,3004.00,2954.00,2966.00,270900,2966.00
2016-12-20,2971.00,2995.00,2960.00,2992.00,267800,2992.00
2016-12-19,2997.00,2997.00,2950.00,2965.00,216800,2965.00
2016-12-16,2984.00,3001.00,2974.00,2985.00,463900,2985.00
2016-12-15,2942.00,2979.00,2926.00,2977.00,411500,2977.00
2016-12-14,2921.00,2945.00,2902.00,2936.00,251600,2936.00
2016-12-13,2885.00,2941.00,2877.00,2938.00,267600,2938.00
2016-12-12,2928.00,2946.00,2882.00,2890.00,366200,2890.00
2016-12-09,2931.00,2944.00,2891.00,2936.00,306700,2936.00
2016-12-08,2893.00,2963.00,2890.00,2923.00,315800,2923.00
2016-12-07,2786.00,2888.00,2786.00,2888.00,496800,2888.00
2016-12-06,2782.00,2805.00,2744.00,2800.00,340200,2800.00
2016-12-05,2787.00,2809.00,2761.00,2791.00,183100,2791.00
2016-12-02,2759.00,2795.00,2712.42,2789.00,184400,2789.00
2016-12-01,2754.00,2785.00,2740.00,2785.00,354900,2785.00
2016-11-30,2801.00,2809.00,2753.00,2765.00,438300,2765.00
2016-11-29,2819.00,2819.00,2767.00,2788.00,357800,2788.00
2016-11-28,2868.00,2868.00,2802.00,2819.00,353100,2819.00
2016-11-25,2859.00,2894.00,2841.00,2869.00,247300,2869.00
2016-11-24,2869.00,2869.00,2821.89,2845.00,264200,2845.00
2016-11-23,2881.00,2884.00,2828.00,2850.00,236800,2850.00
2016-11-22,2833.00,2881.00,2828.00,2864.00,281100,2864.00
2016-11-21,2886.00,2886.00,2808.00,2818.00,304800,2818.00
2016-11-18,2869.00,2879.00,2829.00,2872.00,236000,2872.00
2016-11-17,2860.00,2872.00,2840.00,2869.00,372600,2869.00
2016-11-16,2908.00,2922.00,2864.00,2868.00,334900,2868.00
2016-11-15,2890.00,2915.00,2871.00,2906.00,327200,2906.00
2016-11-14,2898.00,2917.00,2865.00,2884.00,268500,2884.00
2016-11-11,2912.00,2929.00,2830.00,2860.00,484600,2860.00
2016-11-10,2891.00,2986.00,2885.00,2903.00,627400,2903.00
2016-11-09,2750.00,2861.00,2724.00,2859.00,399600,2859.00
2016-11-08,2816.00,2852.00,2812.00,2846.00,353900,2846.00
2016-11-07,2816.00,2831.00,2781.00,2817.00,311000,2817.00
2016-11-04,2798.00,2808.00,2724.00,2771.00,423500,2771.00
2016-11-03,2764.00,2853.10,2764.00,2801.00,372600,2801.00
2016-11-02,2786.00,2790.00,2754.00,2786.00,297600,2786.00
2016-11-01,2811.00,2832.00,2792.00,2809.00,200300,2809.00
2016-10-31,2822.00,2834.00,2807.00,2819.00,321600,2819.00
2016-10-28,2829.00,2855.00,2809.00,2846.00,302200,2846.00
2016-10-27,2840.00,2853.00,2816.00,2845.00,211500,2845.00
2016-10-26,2837.00,2864.30,2813.00,2851.00,339600,2851.00
2016-10-25,2855.00,2877.00,2850.00,2857.00,288800,2857.00
2016-10-24,2825.00,2864.00,2822.00,2845.00,368400,2845.00
2016-10-21,2800.00,2821.00,2769.00,2806.00,261400,2806.00
2016-10-20,2802.00,2830.00,2797.00,2808.00,745000,2808.00
2016-10-19,2816.00,2835.00,2767.00,2805.00,308300,2805.00
2016-10-18,2782.00,2823.00,2780.00,2817.00,395200,2817.00
2016-10-17,2759.00,2775.00,2734.00,2743.00,322700,2743.00
2016-10-14,2735.00,2781.00,2735.00,2769.00,311200,2769.00
2016-10-13,2779.00,2792.16,2719.00,2734.00,280200,2734.00
2016-10-12,2790.00,2818.00,2784.00,2794.00,411400,2794.00
2016-10-11,2781.00,2820.00,2775.00,2796.00,324800,2796.00
2016-10-10,2784.00,2784.00,2747.00,2769.00,355600,2769.00
2016-10-07,2821.00,2821.00,2764.00,2770.00,536900,2770.00
2016-10-06,2840.00,2842.00,2799.00,2804.00,287500,2804.00
2016-10-05,2791.00,2831.00,2791.00,2823.00,347200,2823.00
2016-10-04,2787.00,2835.00,2786.00,2816.00,685700,2816.00
2016-10-03,2691.00,2773.00,2691.00,2770.00,502500,2770.00
2016-09-30,2673.00,2702.00,2621.00,2696.00,419900,2696.00
2016-09-29,2684.00,2712.00,2677.00,2700.00,208500,2700.00
2016-09-28,2655.00,2695.00,2655.00,2673.00,411700,2673.00
2016-09-27,2695.00,2711.00,2633.00,2657.00,480600,2657.00
2016-09-26,2730.00,2730.00,2673.00,2677.00,271100,2677.00
2016-09-23,2750.00,2759.00,2738.00,2740.00,212600,2740.00
2016-09-22,2762.00,2779.00,2746.00,2754.00,275900,2754.00
2016-09-21,2738.00,2753.00,2712.00,2739.00,280100,2739.00
2016-09-20,2716.00,2738.41,2707.00,2707.00,580400,2707.00
2016-09-19,2704.00,2725.00,2698.00,2720.00,195400,2720.00
2016-09-16,2718.00,2736.00,2676.00,2679.00,576300,2679.00
2016-09-15,2702.00,2721.00,2680.00,2720.00,230300,2720.00
2016-09-14,2716.00,2723.00,2689.00,2705.00,254500,2705.00
2016-09-13,2702.00,2736.00,2683.00,2695.00,317300,2695.00
2016-09-12,2681.00,2685.00,2644.00,2683.00,361600,2683.00
2016-09-09,2769.00,2776.41,2736.00,2744.00,339800,2744.00
2016-09-08,2767.00,2804.00,2754.00,2793.00,369700,2793.00
2016-09-07,2796.00,2796.00,2746.00,2774.00,365800,2774.00
2016-09-06,2831.00,2834.00,2782.00,2785.00,301600,2785.00
2016-09-05,2849.00,2858.00,2816.00,2824.00,170900,2824.00
2016-09-02,2829.00,2849.00,2786.00,2835.00,546800,2835.00
2016-09-01,2791.00,2837.00,2791.00,2806.00,322400,2806.00
2016-08-31,2748.00,2792.00,2747.00,2784.00,366100,2784.00
2016-08-30,2763.00,2786.00,2752.00,2756.00,182900,2756.00
2016-08-26,2732.00,2760.00,2723.00,2755.00,162500,2755.00
2016-08-25,2740.00,2758.00,2719.00,2745.00,151500,2745.00
2016-08-24,2739.00,2769.00,2723.00,2759.00,220900,2759.00
2016-08-23,2744.00,2771.00,2722.00,2752.00,227200,2752.00
2016-08-22,2719.00,2746.00,2706.00,2728.00,239300,2728.00
2016-08-19,2740.00,2759.00,2709.00,2731.00,276500,2731.00
2016-08-18,2735.00,2770.00,2723.00,2762.00,285600,2762.00
2016-08-17,2739.00,2769.00,2739.00,2749.00,329900,2720.00
2016-08-16,2793.00,2808.00,2776.00,2785.00,349700,2755.62
2016-08-15,2790.00,2807.00,2761.00,2804.00,405100,2774.42
2016-08-12,2734.00,2791.10,2733.00,2786.00,462800,2756.61
2016-08-11,2738.00,2743.00,2689.00,2743.00,257900,2714.063
2016-08-10,2715.00,2727.00,2685.00,2719.00,388400,2690.316
2016-08-09,2713.00,2731.00,2697.00,2727.00,278400,2698.232
2016-08-08,2672.00,2738.00,2669.00,2708.00,273200,2679.432
2016-08-05,2608.00,2671.00,2598.00,2668.00,301800,2639.854
2016-08-04,2578.00,2632.00,2573.00,2613.00,325100,2585.435
2016-08-03,2595.00,2606.00,2541.00,2580.00,372000,2552.783
2016-08-02,2596.00,2660.00,2546.00,2584.00,323100,2556.741
2016-08-01,2645.00,2675.00,2587.00,2610.00,398900,2582.466
2016-07-29,2553.00,2627.00,2539.00,2618.00,453000,2590.382
2016-07-28,2670.00,2670.00,2493.00,2531.00,664200,2504.30
2016-07-27,2588.00,2672.00,2588.00,2640.00,439500,2612.15
2016-07-26,2606.00,2615.00,2580.00,2586.00,282600,2558.719
2016-07-25,2594.00,2631.00,2563.00,2605.00,305900,2577.519
2016-07-22,2556.00,2599.00,2529.00,2581.00,249000,2553.772
2016-07-21,2505.00,2605.00,2505.00,2578.00,328300,2550.804
2016-07-20,2576.00,2598.00,2546.00,2586.00,351600,2558.719
2016-07-19,2565.00,2590.00,2527.00,2568.00,259600,2540.909
2016-07-18,2556.00,2579.00,2542.00,2565.00,462000,2537.941
2016-07-15,2500.00,2577.00,2483.45,2550.00,443700,2523.099
2016-07-14,2525.00,2571.00,2503.00,2552.00,705300,2525.078
2016-07-13,2551.00,2576.00,2034.38,2507.00,621600,2480.553
2016-07-12,2494.00,2575.00,2494.00,2575.00,583300,2547.836
2016-07-11,2440.00,2505.00,2387.00,2501.00,395200,2474.616
2016-07-08,2303.00,2418.00,2300.00,2393.00,483600,2367.756
2016-07-07,2214.00,2359.00,2214.00,2318.00,624500,2293.547
2016-07-06,2217.00,2231.00,2180.00,2201.00,647000,2177.781
2016-07-05,2307.00,2324.00,2209.00,2230.00,669500,2206.475
2016-07-04,2424.00,2441.00,2334.00,2349.00,432100,2324.22
2016-07-01,2385.00,2428.00,2324.00,2422.00,574300,2396.45
2016-06-30,2338.00,2449.00,2257.00,2356.00,825900,2331.146
2016-06-29,2195.00,2254.00,2150.00,2254.00,526700,2230.222
2016-06-28,2089.00,2182.00,2067.00,2151.00,790500,2128.308
2016-06-27,2340.00,2348.00,1995.00,2049.00,1026200,2027.384
2016-06-24,2173.00,2440.00,1960.00,2382.00,1074600,2356.872
2016-06-23,2660.00,2712.00,2645.00,2711.00,364900,2682.401
2016-06-22,2619.00,2666.00,2588.00,2639.00,281100,2611.16
2016-06-21,2569.00,2604.33,2548.00,2598.00,314000,2570.593
2016-06-20,2519.00,2594.00,2482.00,2587.00,614800,2559.709
2016-06-17,2403.00,2460.00,2393.00,2445.00,492100,2419.207
2016-06-16,2383.00,2400.00,2366.00,2387.00,335100,2361.819
2016-06-15,2415.00,2433.00,2403.00,2410.00,374400,2384.576
2016-06-14,2459.00,2460.00,2403.00,2405.00,394800,2379.629
2016-06-13,2531.00,2534.00,2477.00,2478.00,322800,2451.859
2016-06-10,2634.00,2634.00,2537.00,2552.00,335400,2525.078
2016-06-09,2651.00,2655.00,2630.00,2630.00,305000,2602.255
2016-06-08,2652.00,2669.00,2638.00,2657.00,269500,2628.97
2016-06-07,2676.00,2691.00,2654.00,2654.00,299000,2626.002
2016-06-06,2665.00,2689.00,2655.00,2673.00,203500,2644.802
2016-06-03,2665.00,2683.00,2640.00,2656.00,320500,2627.981
2016-06-02,2668.00,2669.00,2648.00,2653.00,329300,2625.013
2016-06-01,2702.00,2706.00,2638.00,2661.00,530500,2632.928
2016-05-31,2732.00,2745.05,2703.00,2710.00,944800,2681.411
