Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,1145.00,1163.00,1136.00,1163.00,741600,1099.728
2016-12-29,1136.00,1142.00,1130.00,1142.00,334300,1079.87
2016-12-28,1152.00,1152.00,1130.00,1136.00,651000,1074.197
2016-12-27,1148.00,1148.00,1148.00,1148.00,000,1085.544
2016-12-26,1148.00,1148.00,1148.00,1148.00,000,1085.544
2016-12-23,1141.00,1148.00,1136.00,1148.00,227300,1085.544
2016-12-22,1114.00,1139.00,1114.00,1139.00,700000,1077.034
2016-12-21,1131.00,1133.00,1107.00,1115.00,826800,1054.339
2016-12-20,1124.00,1134.64,1118.00,1129.00,1100200,1067.578
2016-12-19,1115.00,1125.00,1108.60,1123.00,877100,1061.904
2016-12-16,1107.00,1114.00,1091.00,1109.00,1292400,1048.666
2016-12-15,1081.00,1105.00,1072.00,1095.00,1279500,1035.427
2016-12-14,1075.00,1080.31,1058.00,1077.00,1458300,1018.407
2016-12-13,1050.00,1074.00,1049.00,1073.00,1344800,1014.624
2016-12-12,1078.00,1083.00,1051.00,1051.00,1747200,993.821
2016-12-09,1109.00,1114.00,1066.00,1077.00,1567700,1018.407
2016-12-08,1073.00,1111.44,1050.00,1099.00,1643000,1039.21
2016-12-07,1049.00,1064.00,1045.06,1064.00,1088700,1006.114
2016-12-06,1052.00,1057.00,1039.00,1042.00,853000,985.311
2016-12-05,1034.00,1056.19,1030.37,1049.00,732000,991.93
2016-12-02,1060.00,1064.00,1035.00,1035.00,815100,978.692
2016-12-01,1047.00,1058.77,1032.00,1058.00,1125400,1000.44
2016-11-30,1058.00,1071.00,1046.00,1054.00,3456400,996.658
2016-11-29,1041.00,1057.92,1032.00,1053.00,1402800,995.712
2016-11-28,1055.00,1055.00,1030.84,1039.00,653600,982.474
2016-11-25,1048.00,1057.00,1040.00,1055.00,418400,997.604
2016-11-24,1061.00,1061.00,1045.00,1057.00,491100,999.495
2016-11-23,1065.00,1077.00,1051.00,1053.00,1261800,995.712
2016-11-22,1048.00,1066.00,1043.00,1059.00,821400,1001.386
2016-11-21,1039.00,1049.45,1012.00,1042.00,861800,985.311
2016-11-18,1000.00,1038.00,996.50,1034.00,1880200,977.746
2016-11-17,1023.00,1023.00,995.50,1001.00,1298600,946.541
2016-11-16,1019.00,1037.11,1017.00,1030.00,1118300,973.964
2016-11-15,1021.00,1028.69,1014.86,1022.00,1083500,966.399
2016-11-14,1016.00,1024.00,1009.00,1014.00,442400,958.834
2016-11-11,1044.00,1046.00,1009.00,1010.00,1100800,955.052
2016-11-10,1044.00,1058.00,1036.00,1041.00,795400,984.365
2016-11-09,1024.00,1041.00,1019.00,1041.00,1325600,984.365
2016-11-08,1048.00,1053.00,1041.00,1050.00,652500,992.876
2016-11-07,1043.00,1053.00,1034.00,1049.00,648300,991.93
2016-11-04,1043.00,1050.00,1027.00,1028.00,754300,972.073
2016-11-03,1044.00,1074.97,1039.00,1058.00,808800,1000.44
2016-11-02,1047.00,1052.00,1026.00,1048.00,649600,990.984
2016-11-01,1039.00,1052.00,1035.00,1045.00,723500,988.148
2016-10-31,1034.00,1046.42,1028.00,1037.00,982700,980.583
2016-10-28,1038.00,1041.00,1025.00,1036.00,627900,979.637
2016-10-27,1021.00,1036.00,1014.00,1035.00,878600,978.692
2016-10-26,1028.00,1036.00,1014.00,1020.00,973400,964.508
2016-10-25,1048.00,1048.00,1026.11,1029.00,696600,973.018
2016-10-24,1051.00,1056.00,1043.40,1045.00,508200,988.148
2016-10-21,1048.00,1055.00,1041.00,1047.00,638000,990.039
2016-10-20,1053.00,1057.00,1046.00,1049.00,749900,991.93
2016-10-19,1060.00,1060.00,1046.00,1050.00,934400,992.876
2016-10-18,1061.00,1069.38,1052.00,1059.00,881500,1001.386
2016-10-17,1069.00,1074.00,1053.00,1055.00,781900,997.604
2016-10-14,1073.00,1076.06,1061.00,1071.00,973100,1012.733
2016-10-13,1067.00,1072.00,1049.62,1072.00,743400,1013.679
2016-10-12,1083.00,1083.00,1064.55,1066.00,635800,1008.005
2016-10-11,1093.00,1106.00,1073.00,1082.00,985800,1023.135
2016-10-10,1122.00,1122.00,1083.00,1090.00,1067700,1030.699
2016-10-07,1137.00,1137.00,1084.83,1115.00,1340100,1054.339
2016-10-06,1119.00,1138.00,1113.00,1129.00,983200,1067.578
2016-10-05,1157.00,1166.00,1106.72,1114.00,790400,1053.394
2016-10-04,1113.00,1142.00,1113.00,1134.00,1881500,1072.306
2016-10-03,1099.00,1114.00,1095.23,1109.00,626500,1048.666
2016-09-30,1085.00,1099.00,1078.00,1097.00,1448300,1037.319
2016-09-29,1111.00,1113.00,1088.87,1098.00,885900,1038.264
2016-09-28,1118.00,1130.00,1096.00,1100.00,1769000,1040.155
2016-09-27,1082.00,1094.38,1073.00,1086.00,1214400,1026.917
2016-09-26,1091.00,1091.00,1066.78,1070.00,1036000,1011.788
2016-09-23,1099.00,1101.00,1084.66,1091.00,949000,1031.645
2016-09-22,1052.00,1099.94,1052.00,1093.00,945100,1033.536
2016-09-21,1080.00,1083.00,1048.00,1049.00,993700,991.93
2016-09-20,1062.00,1093.00,1059.95,1075.00,1465300,1016.516
2016-09-19,1074.00,1074.32,1058.74,1062.00,3450600,1004.223
2016-09-16,1027.00,1067.00,1022.00,1067.00,5226400,1008.951
2016-09-15,1015.00,1027.00,1006.00,1027.00,898400,971.127
2016-09-14,1011.00,1018.00,1004.00,1015.00,955900,959.78
2016-09-13,1019.00,1024.00,997.029,1006.00,644100,951.269
2016-09-12,1007.00,1016.88,998.275,1013.00,1197800,957.889
2016-09-09,1019.00,1036.00,1013.00,1020.00,662000,964.508
2016-09-08,1027.00,1041.00,1017.73,1026.00,1354000,970.181
2016-09-07,1052.00,1052.00,1020.02,1027.00,852700,971.127
2016-09-06,1043.00,1064.00,1040.00,1046.00,559100,989.093
2016-09-05,1047.00,1049.56,1036.00,1044.00,421800,987.202
2016-09-02,1053.00,1055.00,1036.00,1046.00,1067800,989.093
2016-09-01,1064.00,1071.62,1041.00,1048.00,823900,990.984
2016-08-31,1035.00,1065.46,1035.00,1063.00,1100500,1005.168
2016-08-30,1038.00,1042.05,1033.00,1039.00,1070300,982.474
2016-08-29,1044.00,1044.00,1044.00,1044.00,000,987.202
2016-08-26,1032.00,1045.84,1026.00,1044.00,660000,987.202
2016-08-25,1034.00,1037.36,1025.88,1033.00,468500,976.801
2016-08-24,1044.00,1063.00,1036.00,1039.00,499600,982.474
2016-08-23,1036.00,1048.00,1033.00,1047.00,537500,990.039
2016-08-22,1036.00,1045.00,1025.00,1029.00,616000,973.018
2016-08-19,1031.00,1037.00,1025.36,1034.00,625900,977.746
2016-08-18,1036.00,1038.00,1020.36,1032.00,738600,975.855
2016-08-17,1034.00,1038.00,1020.03,1028.00,515900,972.073
2016-08-16,1030.00,1038.00,1028.00,1031.00,521200,974.909
2016-08-15,1045.00,1045.00,1026.02,1036.00,630900,979.637
2016-08-12,1042.00,1054.51,1034.00,1041.00,639000,984.365
2016-08-11,1024.00,1062.00,1016.82,1041.00,1228600,984.365
2016-08-10,1011.00,1022.00,1002.00,1012.00,884500,956.943
2016-08-09,984.00,1017.00,984.00,1016.00,957100,960.725
2016-08-08,985.50,999.00,976.546,979.50,771000,926.211
2016-08-05,967.00,987.50,963.00,987.00,986700,933.303
2016-08-04,969.00,973.00,951.00,964.00,816100,911.554
2016-08-03,971.50,971.50,958.50,966.00,546900,913.446
2016-08-02,980.50,980.50,966.00,968.50,921600,915.81
2016-08-01,994.00,995.50,971.625,982.50,620900,929.048
2016-07-29,969.00,988.50,967.00,984.50,1489800,930.939
2016-07-28,938.00,975.50,936.50,962.50,1484000,910.136
